FIPS,Town,Age Range,Population
901301080,Andover,0 to 8,337
900901220,Ansonia,0 to 8,2197
901501430,Ashford,0 to 8,417
900302060,Avon,0 to 8,1872
900502760,Barkhamsted,0 to 8,366
900903250,Beacon Falls,0 to 8,632
900304300,Berlin,0 to 8,1823
900904580,Bethany,0 to 8,515
900104720,Bethel,0 to 8,1942
900504930,Bethlehem,0 to 8,265
900305910,Bloomfield,0 to 8,1519
901306260,Bolton,0 to 8,441
901106820,Bozrah,0 to 8,231
900907310,Branford,0 to 8,2141
900108070,Bridgeport,0 to 8,18482
900508210,Bridgewater,0 to 8,125
900308490,Bristol,0 to 8,6153
900108980,Brookfield,0 to 8,1666
901509190,Brooklyn,0 to 8,818
900310100,Burlington,0 to 8,1057
900510940,Canaan,0 to 8,95
901512130,Canterbury,0 to 8,477
900312270,Canton,0 to 8,1142
901513810,Chaplin,0 to 8,215
900914160,Cheshire,0 to 8,2813
900714300,Chester,0 to 8,312
900715350,Clinton,0 to 8,1360
901115910,Colchester,0 to 8,1834
900516050,Colebrook,0 to 8,112
901316400,Columbia,0 to 8,472
900517240,Cornwall,0 to 8,100
901317800,Coventry,0 to 8,1261
900718080,Cromwell,0 to 8,1320
900118500,Danbury,0 to 8,9143
900118850,Darien,0 to 8,3401
900719130,Deep River,0 to 8,454
900919550,Derby,0 to 8,1373
900720810,Durham,0 to 8,782
900322070,East Granby,0 to 8,559
900722280,East Haddam,0 to 8,880
900722490,East Hampton,0 to 8,1400
900322630,East Hartford,0 to 8,5946
900922910,East Haven,0 to 8,2602
901123400,East Lyme,0 to 8,1534
900324800,East Windsor,0 to 8,1027
901521860,Eastford,0 to 8,161
900123890,Easton,0 to 8,824
901325360,Ellington,0 to 8,1778
900325990,Enfield,0 to 8,4066
900726270,Essex,0 to 8,585
900126620,Fairfield,0 to 8,6981
900327600,Farmington,0 to 8,2378
901129910,Franklin,0 to 8,167
900331240,Glastonbury,0 to 8,3820
900532290,Goshen,0 to 8,238
900332640,Granby,0 to 8,1148
900133620,Greenwich,0 to 8,7470
901133900,Griswold,0 to 8,1251
901134250,Groton,0 to 8,4832
900934950,Guilford,0 to 8,2217
900735230,Haddam,0 to 8,912
900935650,Hamden,0 to 8,5609
901536000,Hampton,0 to 8,154
900337070,Hartford,0 to 8,16221
900337140,Hartland,0 to 8,224
900537280,Harwinton,0 to 8,528
901337910,Hebron,0 to 8,1062
900540290,Kent,0 to 8,275
901540500,Killingly,0 to 8,1874
900740710,Killingworth,0 to 8,623
901142390,Lebanon,0 to 8,729
901142600,Ledyard,0 to 8,1630
901143230,Lisbon,0 to 8,364
900543370,Litchfield,0 to 8,732
901144210,Lyme,0 to 8,178
900944560,Madison,0 to 8,1656
900344700,Manchester,0 to 8,6299
901344910,Mansfield,0 to 8,1085
900345820,Marlborough,0 to 8,772
900946520,Meriden,0 to 8,7125
900946940,Middlebury,0 to 8,799
900747080,Middlefield,0 to 8,401
900747360,Middletown,0 to 8,4524
900947535,Milford,0 to 8,4731
900148620,Monroe,0 to 8,2017
901148900,Montville,0 to 8,1808
900549460,Morris,0 to 8,183
900949950,Naugatuck,0 to 8,3436
900350440,New Britain,0 to 8,8731
900150580,New Canaan,0 to 8,2571
900150860,New Fairfield,0 to 8,1429
900551350,New Hartford,0 to 8,707
900952070,New Haven,0 to 8,15460
901152350,New London,0 to 8,2857
900552630,New Milford,0 to 8,3059
900352140,Newington,0 to 8,2770
900152980,Newtown,0 to 8,3070
900553470,Norfolk,0 to 8,135
900953890,North Branford,0 to 8,1305
900554030,North Canaan,0 to 8,309
900954870,North Haven,0 to 8,2058
901155500,North Stonington,0 to 8,492
