Town,FIPS,Year,Age Range,Allegation Type,Report Status,Measure Type,Variable,Value
Andover,0901301080,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2013,9 to 17,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2008,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,16
Andover,0901301080,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2013,0 to 8,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2008,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,47.48
Andover,0901301080,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,1
Andover,0901301080,2013,0 to 8,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2013,9 to 17,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,2
Andover,0901301080,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2008,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,11
Andover,0901301080,2011,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,32.64
Andover,0901301080,2013,0 to 8,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,2
Andover,0901301080,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Andover,0901301080,2013,0 to 8,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,6
Andover,0901301080,2011,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,14
Andover,0901301080,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2013,0 to 8,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Andover,0901301080,2012,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,0
Andover,0901301080,2013,0 to 8,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,0 to 8,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2013,9 to 17,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,9 to 17,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Andover,0901301080,2012,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,0
Andover,0901301080,2013,9 to 17,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2013,0 to 8,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2013,9 to 17,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,1
Andover,0901301080,2013,9 to 17,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,1
Andover,0901301080,2013,0 to 8,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,1
Andover,0901301080,2008,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,19
Andover,0901301080,2013,9 to 17,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,6
Andover,0901301080,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2008,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,35.61
Andover,0901301080,2008,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,32.64
Andover,0901301080,2013,0 to 8,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Andover,0901301080,2008,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,56.38
Andover,0901301080,2011,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,11
Andover,0901301080,2011,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,41.54
Andover,0901301080,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Andover,0901301080,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Andover,0901301080,2008,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,12
Ansonia,0900901220,2010,0 to 9,Sexual Abuse/Exploitation,Total reports,Number,Child Abuse and Neglect,11
Ansonia,0900901220,2009,0 to 9,Sexual Abuse/Exploitation,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,4.55
Ansonia,0900901220,2009,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,269
Ansonia,0900901220,2009,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,10.47
Ansonia,0900901220,2011,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,81.02
Ansonia,0900901220,2008,0 to 9,Emotional Abuse/Maltreatment,Total reports,Rate per 1000,Child Abuse and Neglect,7.74
Ansonia,0900901220,2013,0 to 8,All,Substantiated unduplicated,Number,Child Abuse and Neglect,49
Ansonia,0900901220,2009,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,15.02
Ansonia,0900901220,2011,0 to 9,Medical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,5.46
Ansonia,0900901220,2011,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,21.85
Ansonia,0900901220,2009,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,47
Ansonia,0900901220,2010,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,11.38
Ansonia,0900901220,2009,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,23
Ansonia,0900901220,2011,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,178
Ansonia,0900901220,2011,0 to 9,Educational,Total reports,Rate per 1000,Child Abuse and Neglect,7.74
Ansonia,0900901220,2010,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,38
Ansonia,0900901220,2013,9 to 17,Moral Neglect,Unsubstantiated,Number,Child Abuse and Neglect,5
Ansonia,0900901220,2008,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,25.49
Ansonia,0900901220,2011,0 to 9,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,18
Ansonia,0900901220,2008,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,20.03
Ansonia,0900901220,2013,9 to 17,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,5
Ansonia,0900901220,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2008,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,44
Ansonia,0900901220,2011,0 to 9,Educational,Substantiated,Rate per 1000,Child Abuse and Neglect,5.92
Ansonia,0900901220,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,106
Ansonia,0900901220,2012,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,66
Ansonia,0900901220,2008,0 to 9,Educational,Total reports,Number,Child Abuse and Neglect,15
Ansonia,0900901220,2013,0 to 8,Educational Neglect,Pending,Number,Child Abuse and Neglect,0
Ansonia,0900901220,2013,9 to 17,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,7
Ansonia,0900901220,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,21
Ansonia,0900901220,2011,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,48
Ansonia,0900901220,2011,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,249
Ansonia,0900901220,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,3
Ansonia,0900901220,2010,0 to 9,Educational,Total reports,Rate per 1000,Child Abuse and Neglect,4.55
Ansonia,0900901220,2011,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,113.34
Ansonia,0900901220,2011,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,47.34
Ansonia,0900901220,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,46
Ansonia,0900901220,2008,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,201
Ansonia,0900901220,2010,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,91.03
Ansonia,0900901220,2011,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,75
Ansonia,0900901220,2011,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,35.96
Ansonia,0900901220,2013,0 to 8,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Ansonia,0900901220,2009,0 to 9,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,10
Ansonia,0900901220,2008,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,71.46
Ansonia,0900901220,2010,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,47
Ansonia,0900901220,2008,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,45.97
Ansonia,0900901220,2013,9 to 17,Educational Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Ansonia,0900901220,2010,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,43
Ansonia,0900901220,2013,0 to 8,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,2
Ansonia,0900901220,2010,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,77
Ansonia,0900901220,2009,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,4.55
Ansonia,0900901220,2008,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,6.83
Ansonia,0900901220,2013,9 to 17,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Ansonia,0900901220,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,21
Ansonia,0900901220,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,10
Ansonia,0900901220,2011,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,34.14
Ansonia,0900901220,2010,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,59.17
Ansonia,0900901220,2008,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,72
Ansonia,0900901220,2013,9 to 17,All,Substantiated unduplicated,Number,Child Abuse and Neglect,20
Ansonia,0900901220,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,21
Ansonia,0900901220,2013,9 to 17,Educational Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2011,0 to 9,Emotional Abuse/Maltreatment,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,5.46
Ansonia,0900901220,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,21
Ansonia,0900901220,2010,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,200
Ansonia,0900901220,2008,0 to 9,Emotional Abuse/Maltreatment,Total reports,Number,Child Abuse and Neglect,17
Ansonia,0900901220,2009,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,88.3
Ansonia,0900901220,2010,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,55
Ansonia,0900901220,2008,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,57
Ansonia,0900901220,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,10
Ansonia,0900901220,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,75
Ansonia,0900901220,2013,0 to 8,Moral Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2011,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,104
Ansonia,0900901220,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2013,0 to 8,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,1
Ansonia,0900901220,2013,0 to 8,Moral Neglect,Unsubstantiated,Number,Child Abuse and Neglect,5
Ansonia,0900901220,2011,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,23.67
Ansonia,0900901220,2009,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,43
Ansonia,0900901220,2011,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,17.3
Ansonia,0900901220,2013,9 to 17,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,106
Ansonia,0900901220,2009,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,46.43
Ansonia,0900901220,2010,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,130
Ansonia,0900901220,2009,0 to 9,Sexual Abuse/Exploitation,Total reports,Rate per 1000,Child Abuse and Neglect,5.92
Ansonia,0900901220,2008,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,39.14
Ansonia,0900901220,2009,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,122.44
Ansonia,0900901220,2011,0 to 9,Physical Neglect,Pending,Number,Child Abuse and Neglect,19
Ansonia,0900901220,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,43
Ansonia,0900901220,2013,0 to 8,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2013,9 to 17,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,2
Ansonia,0900901220,2010,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,35.05
Ansonia,0900901220,2013,9 to 17,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,35
Ansonia,0900901220,2013,0 to 8,Moral Neglect,Pending,Number,Child Abuse and Neglect,0
Ansonia,0900901220,2008,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,101
Ansonia,0900901220,2013,0 to 8,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,5
Ansonia,0900901220,2009,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,19.57
Ansonia,0900901220,2013,0 to 8,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Ansonia,0900901220,2008,0 to 9,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,15
Ansonia,0900901220,2011,0 to 9,Emotional Abuse/Maltreatment,Total reports,Number,Child Abuse and Neglect,12
Ansonia,0900901220,2011,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,52
Ansonia,0900901220,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2011,0 to 9,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,12
Ansonia,0900901220,2011,0 to 9,Educational,Substantiated,Number,Child Abuse and Neglect,13
Ansonia,0900901220,2011,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,38
Ansonia,0900901220,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Ansonia,0900901220,2009,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,75
Ansonia,0900901220,2011,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,79
Ansonia,0900901220,2011,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,8.19
Ansonia,0900901220,2008,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,86
Ansonia,0900901220,2010,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,25
Ansonia,0900901220,2012,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,30.04
Ansonia,0900901220,2013,0 to 8,Educational Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Ansonia,0900901220,2013,0 to 8,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,46
Ansonia,0900901220,2009,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,34.14
Ansonia,0900901220,2009,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,102
Ansonia,0900901220,2008,0 to 9,Educational,Total reports,Rate per 1000,Child Abuse and Neglect,6.83
Ansonia,0900901220,2010,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,19.57
Ansonia,0900901220,2013,9 to 17,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,1
Ansonia,0900901220,2010,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,25.03
Ansonia,0900901220,2010,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,21.39
Ansonia,0900901220,2008,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,157
Ansonia,0900901220,2011,0 to 9,Medical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,7.28
Ansonia,0900901220,2013,0 to 8,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,7
Ansonia,0900901220,2008,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,25.94
Ansonia,0900901220,2011,0 to 9,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,12
Ansonia,0900901220,2009,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,21.39
Ansonia,0900901220,2010,0 to 9,Educational,Total reports,Number,Child Abuse and Neglect,10
Ansonia,0900901220,2013,9 to 17,Moral Neglect,Pending,Number,Child Abuse and Neglect,0
Ansonia,0900901220,2008,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,91.49
Ansonia,0900901220,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,3
Ansonia,0900901220,2010,0 to 9,Sexual Abuse/Exploitation,Total reports,Rate per 1000,Child Abuse and Neglect,5.01
Ansonia,0900901220,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2010,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,17.3
Ansonia,0900901220,2008,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,32.77
Ansonia,0900901220,2008,0 to 9,Emotional Abuse/Maltreatment,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,7.28
Ansonia,0900901220,2011,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,41.42
Ansonia,0900901220,2013,0 to 8,Educational Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2011,0 to 9,Emotional Abuse/Maltreatment,Total reports,Rate per 1000,Child Abuse and Neglect,5.46
Ansonia,0900901220,2013,9 to 17,Educational Neglect,Pending,Number,Child Abuse and Neglect,0
Ansonia,0900901220,2008,0 to 9,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,16
Ansonia,0900901220,2013,9 to 17,Moral Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ansonia,0900901220,2011,0 to 9,Physical Neglect,Pending,Rate per 1000,Child Abuse and Neglect,8.65
Ansonia,0900901220,2011,0 to 9,Medical Neglect,Total reports,Number,Child Abuse and Neglect,16
Ansonia,0900901220,2008,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,56
